상병코드,상병명,상병명(영문)
A1550     ,세균학적 및 조직학적으로 확인된 공동이 있는 후두/ 기관 및 기관지의 결핵,Tuberculosis of larynx with cavitation/ trachea and bronchus with cavitation/ confirmed bacteriologically and histologically
A1550     ,세균학적 및 조직학적으로 확인된 공동이 있는 후두의 결핵,Tuberculosis of larynx with cavitation/ confirmed bacteriologically and histologically
A1551     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기관의 결핵,Tuberculosis of trachea without cavitation or unspecified/ confirmed bacteriologically and histologically
A1551     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기관지의 결핵,Tuberculosis of bronchus without cavitation or unspecified/ confirmed bacteriologically and histologically
A1551     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 성문의 결핵,Tuberculosis of glottis without cavitation or unspecified/ confirmed bacteriologically and histologically
A1551     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두/ 기관 및 기관지의 결핵,Tuberculosis of larynx  without cavitation or unspecified/ trachea and bronchus  without cavitation or unspecified/ confirmed bacteriologically and histologically
A1551     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두의 결핵,Tuberculosis of larynx without cavitation or unspecified/ confirmed bacteriologically and histologically
A156      ,세균학적 및 조직학적으로 확인된 결핵성 농흉(膿胸),Tuberculous empyema/ confirmed bacteriologically and histologically
A156      ,세균학적 및 조직학적으로 확인된 결핵성 흉막염,Tuberculous pleurisy/ confirmed bacteriologically and histologically
A156      ,세균학적 및 조직학적으로 확인된 흉막의 결핵,Tuberculosis of pleura/ confirmed bacteriologically and histologically
A1560     ,세균학적 및 조직학적으로 확인된 공동이 있는 결핵성 농흉(膿胸),Tuberculous empyema with cavitation/ confirmed bacteriologically and histologically
A1560     ,세균학적 및 조직학적으로 확인된 공동이 있는 결핵성 흉막염,Tuberculous pleurisy with cavitation/ confirmed bacteriologically and histologically
A1560     ,세균학적 및 조직학적으로 확인된 공동이 있는 흉막의 결핵,Tuberculosis of pleura with cavitation/ confirmed bacteriologically and histologically
A1561     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 농흉(膿胸),Tuberculous empyema without cavitation or unspecified/ confirmed bacteriologically and histologically
A1561     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,Tuberculous pleurisy without cavitation or unspecified/ confirmed bacteriologically and histologically
A1561     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 흉막의 결핵,Tuberculosis of pleura without cavitation or unspecified/ confirmed bacteriologically and histologically
A157      ,세균학적 및 조직학적으로 확인된 일차호흡기결핵,Primary respiratory tuberculosis/ confirmed bacteriologically and histologically
A1570     ,세균학적 및 조직학적으로 확인된 공동이 있는 일차호흡기결핵,Primary respiratory tuberculosis with cavitation/ confirmed bacteriologically and histologically
A1571     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 일차호흡기결핵,Primary respiratory tuberculosis without cavitation or unspecified/ confirmed bacteriologically and histologically
A158      ,세균학적 및 조직학적으로 확인된 기타 호흡기결핵,Other respiratory tuberculosis/ confirmed bacteriologically and histologically
A158      ,세균학적 및 조직학적으로 확인된 부비동의 결핵,Tuberculosis of sinus[any nasal]/ confirmed bacteriologically and histologically
A158      ,세균학적 및 조직학적으로 확인된 비인두결핵,Nasopharyngeal tuberculosis/ confirmed bacteriologically and histologically
A158      ,세균학적 및 조직학적으로 확인된 종격결핵,Mediastinal tuberculosis/ confirmed bacteriologically and histologically
A158      ,세균학적 및 조직학적으로 확인된 코의 결핵,Tuberculosis of nose/ confirmed bacteriologically and histologically
A1580     ,세균학적 및 조직학적으로 확인된 공동이 있는 기타 호흡기결핵,Other respiratory tuberculosis with cavitation/ confirmed bacteriologically and histologically
A1580     ,세균학적 및 조직학적으로 확인된 공동이 있는 부비동의 결핵,Tuberculosis of sinus[any nasal] with cavitation/ confirmed bacteriologically and histologically
A1580     ,세균학적 및 조직학적으로 확인된 공동이 있는 비인두결핵,Nasopharyngeal tuberculosis with cavitation/ confirmed bacteriologically and histologically
A1580     ,세균학적 및 조직학적으로 확인된 공동이 있는 종격결핵,Mediastinal tuberculosis with cavitation/ confirmed bacteriologically and histologically
A1580     ,세균학적 및 조직학적으로 확인된 공동이 있는 코의 결핵,Tuberculosis of nose with cavitation/ confirmed bacteriologically and histologically
A1581     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기타 호흡기결핵,Other respiratory tuberculosis without cavitation or unspecified/ confirmed bacteriologically and histologically
A1581     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 부비동의 결핵,Tuberculosis of sinus[any nasal] without cavitation or unspecified/ confirmed bacteriologically and histologically
A1581     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 비인두결핵,Nasopharyngeal tuberculosis without cavitation or unspecified/ confirmed bacteriologically and histologically
A1581     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 종격결핵,Mediastinal tuberculosis without cavitation or unspecified/ confirmed bacteriologically and histologically
A1581     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 코의 결핵,Tuberculosis of nose without cavitation or unspecified/ confirmed bacteriologically and histologically
A159      ,세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵,Respiratory tuberculosis unspecified/ confirmed Confirmed bacteriologically and histologically
A1590     ,세균학적 및 조직학적으로 확인된 공동이 있는 상세불명의 호흡기결핵,Respiratory tuberculosis unspecified with cavitation/ confirmed Confirmed bacteriologically and histologically
A1591     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,Respiratory tuberculosis unspecified without cavitation or unspecified/ confirmed Confirmed bacteriologically and histologically
A16       ,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,Respiratory tuberculosis/ not confirmed bacteriologically or histologically
A160      ,세균학적 및 조직학적으로 음성인 결핵성 기관지확장증,Tuberculous bronchiectasis/ bacteriologically and histologically negative
A160      ,세균학적 및 조직학적으로 음성인 결핵성 기흉,Tuberculous pneumothorax/ bacteriologically and histologically negative
A160      ,세균학적 및 조직학적으로 음성인 결핵성 폐렴,Tuberculous pneumonia/ bacteriologically and histologically negative
